Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.73973e-03    1.58180e-43    2.99822e-43    1.49911e-43    1.49911e-43    1.49911e-43    0.00000e+00
    1.83031e-03    5.65420e-47    1.03482e-46    5.17408e-47    5.17408e-47    5.17408e-47    0.00000e+00
    1.92561e-03    1.35163e-50    2.52615e-50    1.26308e-50    1.26308e-50    1.26308e-50    0.00000e+00
    2.02588e-03    1.36594e-54    2.51998e-54    1.25999e-54    1.25999e-54    1.25999e-54    0.00000e+00
    2.13136e-03    1.60755e-58    2.89387e-58    1.44693e-58    1.44693e-58    1.44693e-58    0.00000e+00
    2.24234e-03    6.86683e-63    1.26028e-62    6.30140e-63    6.30140e-63    6.30140e-63    0.00000e+00
    2.35910e-03    1.91053e-67    3.53447e-67    1.76723e-67    1.76723e-67    1.76723e-67    0.00000e+00
    2.48193e-03    3.77242e-72    6.78383e-72    3.39191e-72    3.39191e-72    3.39191e-72    0.00000e+00
    2.61116e-03    6.39670e-77    1.12583e-76    5.62914e-77    5.62914e-77    5.62914e-77    0.00000e+00
    2.74712e-03    4.18390e-82    7.21045e-82    3.60522e-82    3.60522e-82    3.60522e-82    0.00000e+00
    2.89016e-03    6.48996e-88    1.10558e-87    5.52792e-88    5.52792e-88    5.52792e-88    0.00000e+00
    3.04065e-03    1.00577e-93    1.70021e-93    8.50106e-94    8.50106e-94    8.50106e-94    0.00000e+00
    3.19897e-03   7.64201e-100    1.27243e-99   6.36216e-100   6.36216e-100   6.36216e-100    0.00000e+00
    3.36553e-03   2.30994e-104   3.84542e-104   1.92271e-104   1.92271e-104   1.92271e-104    0.00000e+00
    3.54077e-03   6.10558e-111   9.99816e-111   4.99908e-111   4.99908e-111   4.99908e-111    0.00000e+00
    3.72514e-03   3.18702e-120   5.47572e-120   2.73786e-120   2.73786e-120   2.73786e-120    0.00000e+00
    3.91910e-03   4.21251e-126   7.23747e-126   3.61873e-126   3.61873e-126   3.61873e-126    0.00000e+00
    4.12316e-03   1.44900e-132   2.48685e-132   1.24343e-132   1.24343e-132   1.24343e-132    0.00000e+00
    4.33785e-03   1.34272e-141   2.09105e-141   1.04552e-141   1.04552e-141   1.04552e-141    0.00000e+00
    4.56372e-03   1.51419e-152   2.35795e-152   1.17898e-152   1.17898e-152   1.17898e-152    0.00000e+00
    4.80134e-03   1.86311e-157   2.90131e-157   1.45066e-157   1.45066e-157   1.45066e-157    0.00000e+00
    5.05134e-03   8.50687e-167   1.39568e-166   6.97839e-167   6.97839e-167   6.97839e-167    0.00000e+00
    5.31436e-03   1.50849e-181   2.34491e-181   1.17245e-181   1.17245e-181   1.17245e-181    0.00000e+00
    5.59107e-03   4.23451e-187   6.58245e-187   3.29122e-187   3.29122e-187   3.29122e-187    0.00000e+00
    5.88219e-03   3.90285e-198   6.31824e-198   3.15912e-198   3.15912e-198   3.15912e-198    0.00000e+00
    6.18847e-03   2.28914e-215   3.57032e-215   1.78516e-215   1.78516e-215   1.78516e-215    0.00000e+00
    6.51069e-03   2.52589e-220   3.93957e-220   1.96979e-220   1.96979e-220   1.96979e-220    0.00000e+00
    6.84970e-03   7.49299e-241   1.06689e-240   5.33447e-241   5.33447e-241   5.33447e-241    0.00000e+00
    7.20635e-03   2.77594e-246   3.95255e-246   1.97627e-246   1.97627e-246   1.97627e-246    0.00000e+00
    7.58158e-03   3.62532e-269   5.38579e-269   2.69289e-269   2.69289e-269   2.69289e-269    0.00000e+00
    7.97634e-03   2.20584e-284   2.64679e-284   1.32339e-284   1.32339e-284   1.32339e-284    0.00000e+00
    8.39166e-03    0.00000e+00   7.50612e-300   2.50204e-300   2.50204e-300   2.50204e-300    0.00000e+00
    8.82860e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    9.28829e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    9.77192e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.02807e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.08160e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.13792e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.19717e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.25951e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.32509e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.39408e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.46667e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.54304e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.62338e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.70791e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.79684e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.89040e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.98883e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.09238e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.20133e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.31595e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.43654e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.56341e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.69688e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.83730e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.98504e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.14047e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.30399e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.47602e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.65701e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.84743e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.04776e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.25852e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.48025e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.71353e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.95896e-02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
